moeda,moeda_destino,valor_compra,valor_venda,maxima_dia,minima_dia,data_cotacao,arquivo_origem
USD,BRL,5.13178,5.13713,5.16197,5.0674,2026-08-04 16:05:09,cotacoes_20260804T191119Z.json
EUR,BRL,5.91751,5.92417,5.95026,5.84146,2026-08-04 16:05:09,cotacoes_20260804T191119Z.json
USD,BRL,5.13178,5.13713,5.16197,5.0674,2026-08-04 16:05:09,cotacoes_20260804T192147Z.json
EUR,BRL,5.91751,5.92417,5.95026,5.84146,2026-08-04 16:05:09,cotacoes_20260804T192147Z.json
USD,BRL,5.11219,5.1125,5.11219,5.1068,2026-08-07 03:47:49,cotacoes_20260807T105230Z.json
EUR,BRL,5.89275,5.89379,5.89484,5.88374,2026-08-07 07:49:13,cotacoes_20260807T105230Z.json
USD,BRL,5.11219,5.1125,5.11219,5.1068,2026-08-07 03:47:49,cotacoes_20260807T105235Z.json
EUR,BRL,5.89275,5.89379,5.89484,5.88374,2026-08-07 07:49:13,cotacoes_20260807T105235Z.json
USD,BRL,5.11219,5.1125,5.11219,5.1068,2026-08-07 03:47:49,cotacoes_20260807T105238Z.json
EUR,BRL,5.89275,5.89379,5.89484,5.88374,2026-08-07 07:49:13,cotacoes_20260807T105238Z.json
